Area,Match %,Matching Keywords,Missing Keywords
<<<<<<< HEAD
Job Description,58.19,"software, systems, development, technical, scalable","engineers, iii, teams, support, solutions"
Key Responsibilities,75.79,"technical, technologies, software, code, development","collaborate, documentation, including, solutions, managers"
Required Qualifications,69.64,"systems, bachelor, sql, software, skills","experience, master, strong, ability, complex"
Preferred Qualifications,77.78,"development, technologies, systems, react","experience, work, vuejs, source, understanding"
=======
Job Description,58.73,technical,"software, systems, engineers, iii, development"
Key Responsibilities,87.16,"technical, technologies, code, tools","software, development, security, deployment, collaborate"
Required Qualifications,70.85,"experience, skills, science, technical, technology","systems, bachelor, master, sql, software"
Preferred Qualifications,73.17,"experience, technologies, work, tech","development, vuejs, systems, source, understanding"
>>>>>>> 597ccf41dd54ec10daf12d0a71636f27cedcd518
